rock,rock,draw
paper,scissors,pc
paper,scissors,pc
scissors,paper,player
paper,paper,draw
paper,paper,draw
scissors,paper,player
rock,scissors,player
paper,scissors,pc
rock,rock,draw
scissors,scissors,draw
rock,rock,draw
rock,paper,pc
paper,paper,draw
rock,paper,pc
paper,paper,draw
rock,scissors,player
rock,scissors,player
scissors,rock,pc
rock,scissors,player
rock,paper,pc
rock,rock,draw
rock,paper,pc
rock,scissors,player
rock,scissors,player
rock,paper,pc
rock,scissors,player
rock,paper,pc
rock,paper,pc
rock,paper,pc
rock,paper,pc
rock,scissors,player
rock,rock,draw
rock,scissors,player
paper,rock,player
paper,rock,player
paper,paper,draw
paper,paper,draw
paper,scissors,pc
paper,paper,draw
paper,rock,player
paper,paper,draw
paper,rock,player
paper,scissors,pc
paper,scissors,pc
paper,paper,draw
paper,rock,player
paper,scissors,pc
paper,rock,player
paper,rock,player
paper,scissors,pc
paper,paper,draw
paper,scissors,pc
paper,paper,draw
paper,paper,draw
paper,paper,draw
paper,paper,draw
paper,rock,player
paper,paper,draw
paper,scissors,pc
paper,paper,draw
paper,paper,draw
paper,paper,draw
rock,rock,draw
scissors,scissors,draw
scissors,paper,player
scissors,rock,pc
scissors,rock,pc
scissors,rock,pc
scissors,rock,pc
scissors,rock,pc
scissors,paper,player
scissors,paper,player
scissors,paper,player
scissors,rock,pc
scissors,rock,pc
scissors,scissors,draw
scissors,rock,pc
scissors,scissors,draw
scissors,scissors,draw
paper,rock,player
rock,scissors,player
scissors,scissors,draw
rock,rock,draw
rock,rock,draw
scissors,rock,pc
rock,scissors,player
scissors,rock,pc
paper,scissors,pc
scissors,rock,pc
scissors,scissors,draw
scissors,scissors,draw
scissors,rock,pc
rock,paper,pc
rock,rock,draw
rock,rock,draw
rock,scissors,player
paper,rock,player
rock,paper,pc
rock,rock,draw
paper,paper,draw
paper,scissors,pc
scissors,scissors,draw
scissors,rock,pc
scissors,rock,pc
paper,paper,draw
scissors,paper,player
scissors,rock,pc
rock,scissors,player
scissors,scissors,draw
paper,rock,player
rock,rock,draw
rock,paper,pc
paper,scissors,pc
rock,paper,pc
scissors,scissors,draw
scissors,paper,player
scissors,rock,pc
paper,scissors,pc
scissors,paper,player
rock,paper,pc
rock,paper,pc
paper,paper,draw
paper,paper,draw
scissors,paper,player
rock,paper,pc
